Order_ID,Order_Date,Ship_Date,Year,Customer_ID,Customer_Name,Segment,Region,State,City,Country,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Inventory_Days,Unit_Cost,Selling_Price,Stock_Level,Supplier
ORD00020,09-06-2023,14-06-2023,2023,CUST1020,Swathi R,Consumer,North,Delhi,New Delhi,India,Technology,Monitor,Monitor Model 945,8826,2,0.05,2573.2,32,2905.75,4413,34,Mahindra Traders
ORD00021,06-08-2023,09-08-2023,2023,CUST1021,Kavya R,Corporate,North,Uttar Pradesh,Lucknow,India,Furniture,Table,Table Model 569,31788,9,0.05,12231.18,89,1996.38,3532,284,ITC Supply
ORD00022,28-05-2024,30-05-2024,2024,CUST1022,Keerthana S,Consumer,North,Uttar Pradesh,Lucknow,India,Office Supplies,Paper,Paper Model 276,12800,8,0.2,3187.44,23,881.57,1600,262,Adani Logistics
ORD00023,04-05-2023,09-05-2023,2023,CUST1023,Arjun Reddy,Home Office,South,Kerala,Kochi,India,Office Supplies,Pen,Pen Model 158,41850,9,0.15,4349.52,36,3469.22,4650,117,Mahindra Traders
ORD00024,13-02-2023,14-02-2023,2023,CUST1024,Divya Menon,Home Office,East,Assam,Guwahati,India,Technology,Laptop,Laptop Model 304,22136,8,0.2,147.44,40,2195.17,2767,251,Adani Logistics
ORD00025,30-06-2024,04-07-2024,2024,CUST1025,Arjun Reddy,Corporate,North,Uttar Pradesh,Lucknow,India,Office Supplies,Binder,Binder Model 552,15831,9,0.15,4206.6,45,1027.75,1759,57,Reliance Distributors
ORD00026,14-03-2024,15-03-2024,2024,CUST1026,Sai Kiran,Corporate,North,Uttar Pradesh,Lucknow,India,Furniture,Chair,Chair Model 324,9297,3,0.05,3130.5,17,1900.55,3099,223,ITC Supply
ORD00027,16-06-2023,22-06-2023,2023,CUST1027,Lakshmi Devi,Corporate,North,Delhi,New Delhi,India,Office Supplies,Binder,Binder Model 194,30672,9,0.1,7504.83,51,2233.33,3408,29,Mahindra Traders
ORD00028,21-07-2024,25-07-2024,2024,CUST1028,Aditya Kumar,Consumer,East,Assam,Guwahati,India,Technology,Printer,Printer Model 907,26028,6,0.2,4584.48,34,2706.32,4338,73,Tata Suppliers
ORD00029,29-09-2023,02-10-2023,2023,CUST1029,Shreya Das,Home Office,South,Karnataka,Bengaluru,India,Furniture,Chair,Chair Model 684,15526,7,0.15,4078.06,68,1302.72,2218,187,Tata Suppliers
ORD00030,13-10-2023,14-10-2023,2023,CUST1030,Swathi R,Consumer,North,Punjab,Ludhiana,India,Technology,Printer,Printer Model 168,825,1,0.1,271.48,38,471.02,825,82,ITC Supply
ORD00031,12-01-2023,15-01-2023,2023,CUST1031,Rahul Verma,Corporate,East,Odisha,Bhubaneswar,India,Office Supplies,Paper,Paper Model 151,4416,1,0.05,730.71,28,3464.49,4416,123,Mahindra Traders
ORD00032,05-10-2024,08-10-2024,2024,CUST1032,Sneha Nair,Consumer,North,Punjab,Ludhiana,India,Furniture,Bookcase,Bookcase Model 115,6948,3,0.1,1035.81,7,1739.13,2316,278,Adani Logistics
ORD00033,14-07-2023,19-07-2023,2023,CUST1033,Karthik Raj,Home Office,East,West Bengal,Kolkata,India,Furniture,Chair,Chair Model 415,29085,7,0.2,1202.53,32,3152.21,4155,137,Mahindra Traders
ORD00034,23-07-2023,29-07-2023,2023,CUST1034,Abhishek Mishra,Corporate,North,Punjab,Ludhiana,India,Furniture,Chair,Chair Model 541,648,3,0,190.29,25,152.57,216,48,Tata Suppliers
ORD00035,12-11-2024,16-11-2024,2024,CUST1035,Sneha Nair,Corporate,West,Rajasthan,Jaipur,India,Technology,Monitor,Monitor Model 103,2350,5,0.15,596.1,38,280.28,470,206,Mahindra Traders
ORD00036,14-07-2024,17-07-2024,2024,CUST1036,Aditya Kumar,Corporate,North,Delhi,New Delhi,India,Furniture,Chair,Chair Model 385,9588,6,0,3510.78,69,1012.87,1598,122,Reliance Distributors
ORD00037,31-05-2024,01-06-2024,2024,CUST1037,Pooja Singh,Corporate,South,Kerala,Kochi,India,Technology,Laptop,Laptop Model 744,34349,7,0,12073.88,34,3182.16,4907,63,Adani Logistics
ORD00038,25-06-2024,27-06-2024,2024,CUST1038,Vivaan Patel,Home Office,East,Odisha,Bhubaneswar,India,Office Supplies,Binder,Binder Model 625,7281,3,0.2,649.44,85,1725.12,2427,239,Adani Logistics
ORD00039,23-05-2023,28-05-2023,2023,CUST1039,Karthik Raj,Corporate,South,Karnataka,Bengaluru,India,Technology,Laptop,Laptop Model 671,1190,1,0.1,131.04,11,939.96,1190,29,Adani Logistics
ORD00040,28-11-2024,30-11-2024,2024,CUST1040,Deepak Gupta,Consumer,East,Odisha,Bhubaneswar,India,Technology,Printer,Printer Model 863,8440,2,0.2,1916,65,2418,4220,149,Tata Suppliers
ORD00041,29-09-2023,01-10-2023,2023,CUST1041,Shreya Das,Home Office,North,Delhi,New Delhi,India,Office Supplies,Pen,Pen Model 394,33168,8,0.15,9314.08,10,2359.84,4146,121,Tata Suppliers
ORD00042,06-09-2024,08-09-2024,2024,CUST1042,Vivaan Patel,Corporate,West,Gujarat,Ahmedabad,India,Office Supplies,Pen,Pen Model 375,23755,5,0.05,9427.95,17,2627.86,4751,131,ITC Supply
ORD00043,25-10-2023,31-10-2023,2023,CUST1043,Aditya Kumar,Corporate,West,Gujarat,Ahmedabad,India,Furniture,Table,Table Model 117,9196,2,0.05,2961.86,42,2887.17,4598,254,Tata Suppliers
ORD00044,02-06-2024,06-06-2024,2024,CUST1044,Deepak Gupta,Corporate,West,Gujarat,Ahmedabad,India,Technology,Laptop,Laptop Model 468,9726,2,0,4032.06,21,2846.97,4863,280,Mahindra Traders
ORD00045,26-04-2023,02-05-2023,2023,CUST1045,Suresh Babu,Home Office,West,Maharashtra,Mumbai,India,Furniture,Table,Table Model 561,2121,7,0.05,846.51,56,166.92,303,174,Reliance Distributors
ORD00046,02-03-2024,05-03-2024,2024,CUST1046,Arjun Reddy,Consumer,East,Odisha,Bhubaneswar,India,Technology,Printer,Printer Model 830,2758,1,0.1,386.73,6,2095.47,2758,168,Mahindra Traders
ORD00047,17-01-2024,18-01-2024,2024,CUST1047,Sneha Nair,Consumer,East,Odisha,Bhubaneswar,India,Office Supplies,Paper,Paper Model 152,21636,6,0.1,2951.94,89,2753.41,3606,166,Reliance Distributors
ORD00048,13-09-2023,16-09-2023,2023,CUST1048,Harini Balaji,Corporate,East,Assam,Guwahati,India,Furniture,Chair,Chair Model 996,21624,6,0,5341.32,75,2713.78,3604,124,Tata Suppliers
ORD00049,20-02-2023,26-02-2023,2023,CUST1049,Neha Agarwal,Consumer,East,Odisha,Bhubaneswar,India,Office Supplies,Paper,Paper Model 274,20385,5,0,4525.95,65,3171.81,4077,232,Mahindra Traders
ORD00050,16-10-2023,19-10-2023,2023,CUST1050,Neha Agarwal,Home Office,West,Rajasthan,Jaipur,India,Office Supplies,Pen,Pen Model 503,17135,5,0.05,5565.3,20,2142.59,3427,105,Reliance Distributors
ORD00051,18-03-2023,20-03-2023,2023,CUST1051,Priya Sharma,Consumer,East,Assam,Guwahati,India,Technology,Printer,Printer Model 192,22716,6,0.15,6022.02,27,2214.43,3786,195,Adani Logistics
ORD00052,04-04-2023,07-04-2023,2023,CUST1052,Kavya R,Home Office,North,Punjab,Ludhiana,India,Furniture,Bookcase,Bookcase Model 315,1056,4,0.15,215.72,53,170.47,264,158,Mahindra Traders
ORD00053,05-03-2023,09-03-2023,2023,CUST1053,Abhishek Mishra,Consumer,West,Rajasthan,Jaipur,India,Furniture,Chair,Chair Model 493,39915,9,0.05,15041.97,56,2541.92,4435,248,ITC Supply
ORD00054,16-11-2023,17-11-2023,2023,CUST1054,Karthik Raj,Home Office,North,Delhi,New Delhi,India,Furniture,Bookcase,Bookcase Model 975,39280,8,0.15,11782.24,64,2700.72,4910,249,Reliance Distributors
ORD00055,22-04-2023,24-04-2023,2023,CUST1055,Vivaan Patel,Consumer,North,Delhi,New Delhi,India,Office Supplies,Pen,Pen Model 901,7692,2,0,2400.86,21,2645.57,3846,139,Adani Logistics
ORD00056,08-02-2023,14-02-2023,2023,CUST1056,Pooja Singh,Home Office,West,Maharashtra,Mumbai,India,Office Supplies,Binder,Binder Model 696,33147,9,0,14092.11,29,2117.21,3683,218,Mahindra Traders
ORD00057,17-08-2023,22-08-2023,2023,CUST1057,Abhishek Mishra,Consumer,South,Tamil Nadu,Chennai,India,Office Supplies,Binder,Binder Model 586,19056,8,0.1,3598.88,72,1693.94,2382,140,Adani Logistics
ORD00058,10-09-2023,11-09-2023,2023,CUST1058,Nikhil Joshi,Home Office,East,Assam,Guwahati,India,Office Supplies,Binder,Binder Model 530,278,1,0.05,76.57,15,187.53,278,151,Reliance Distributors
ORD00059,14-11-2024,18-11-2024,2024,CUST1059,Priya Sharma,Consumer,West,Maharashtra,Mumbai,India,Furniture,Chair,Chair Model 916,21270,6,0.1,3814.98,42,2554.67,3545,278,Tata Suppliers
ORD00060,30-07-2023,03-08-2023,2023,CUST1060,Pooja Singh,Consumer,North,Punjab,Ludhiana,India,Technology,Laptop,Laptop Model 738,15312,8,0.1,2448.08,68,1416.59,1914,115,Reliance Distributors
ORD00061,11-05-2024,15-05-2024,2024,CUST1061,Vivaan Patel,Home Office,South,Karnataka,Bengaluru,India,Furniture,Chair,Chair Model 161,1172,4,0.2,251.44,28,171.54,293,221,ITC Supply
ORD00062,30-12-2024,02-01-2025,2024,CUST1062,Vivaan Patel,Corporate,South,Tamil Nadu,Chennai,India,Technology,Printer,Printer Model 780,6476,4,0.2,410.72,53,1192.52,1619,211,Mahindra Traders
ORD00063,29-03-2024,31-03-2024,2024,CUST1063,Arjun Reddy,Home Office,South,Tamil Nadu,Chennai,India,Technology,Printer,Printer Model 877,5958,2,0.15,364.16,31,2350.07,2979,214,Mahindra Traders
ORD00064,13-11-2023,17-11-2023,2023,CUST1064,Priya Sharma,Corporate,South,Tamil Nadu,Chennai,India,Office Supplies,Binder,Binder Model 472,12612,4,0.2,253.8,65,2458.95,3153,35,ITC Supply
ORD00065,11-09-2023,17-09-2023,2023,CUST1065,Kavya R,Consumer,East,West Bengal,Kolkata,India,Furniture,Chair,Chair Model 720,4896,8,0,1888.64,48,375.92,612,205,Mahindra Traders
ORD00066,10-12-2023,15-12-2023,2023,CUST1066,Manoj Kumar,Home Office,South,Kerala,Kochi,India,Office Supplies,Pen,Pen Model 924,14142,6,0.1,4936.38,86,1298.57,2357,53,Tata Suppliers
ORD00067,28-08-2023,29-08-2023,2023,CUST1067,Suresh Babu,Consumer,East,Assam,Guwahati,India,Furniture,Table,Table Model 108,18110,5,0.15,4832.15,43,2112.27,3622,97,Adani Logistics
ORD00068,30-08-2023,02-09-2023,2023,CUST1068,Rahul Verma,Consumer,West,Gujarat,Ahmedabad,India,Furniture,Bookcase,Bookcase Model 517,8586,2,0.05,2593.64,13,2781.53,4293,37,ITC Supply
ORD00069,19-07-2024,24-07-2024,2024,CUST1069,Arjun Reddy,Corporate,West,Maharashtra,Mumbai,India,Furniture,Chair,Chair Model 610,4538,2,0.2,1039.1,62,1295.65,2269,108,Reliance Distributors
ORD00070,17-05-2023,21-05-2023,2023,CUST1070,Rohit Jain,Corporate,East,Assam,Guwahati,India,Office Supplies,Paper,Paper Model 481,9828,9,0.1,2718,37,680.8,1092,153,Reliance Distributors
ORD00071,25-03-2024,27-03-2024,2024,CUST1071,Karthik Raj,Corporate,North,Delhi,New Delhi,India,Technology,Laptop,Laptop Model 351,24185,5,0.05,7700.9,69,3054.97,4837,289,Reliance Distributors
ORD00072,27-10-2024,28-10-2024,2024,CUST1072,Vivaan Patel,Corporate,East,West Bengal,Kolkata,India,Technology,Laptop,Laptop Model 338,15944,8,0.15,1138.48,20,1551.74,1993,45,Reliance Distributors
ORD00073,06-09-2024,11-09-2024,2024,CUST1073,Manoj Kumar,Home Office,North,Delhi,New Delhi,India,Furniture,Bookcase,Bookcase Model 106,11337,3,0.2,2097.48,18,2324.04,3779,199,Reliance Distributors
ORD00074,08-02-2023,11-02-2023,2023,CUST1074,Shreya Das,Consumer,West,Maharashtra,Mumbai,India,Technology,Laptop,Laptop Model 934,2065,5,0.2,138.25,6,302.75,413,187,ITC Supply
ORD00075,25-11-2024,28-11-2024,2024,CUST1075,Aditya Kumar,Corporate,North,Uttar Pradesh,Lucknow,India,Furniture,Chair,Chair Model 203,1428,4,0.15,232.76,55,245.26,357,99,Adani Logistics
ORD00076,04-04-2023,10-04-2023,2023,CUST1076,Vivaan Patel,Corporate,North,Punjab,Ludhiana,India,Office Supplies,Binder,Binder Model 863,16940,7,0.1,4159.4,77,1583.8,2420,202,ITC Supply
ORD00077,02-03-2024,03-03-2024,2024,CUST1077,Rahul Verma,Corporate,West,Rajasthan,Jaipur,India,Technology,Printer,Printer Model 216,12376,7,0,4225.9,16,1164.3,1768,227,Adani Logistics
ORD00078,09-01-2024,13-01-2024,2024,CUST1078,Divya Menon,Corporate,North,Delhi,New Delhi,India,Technology,Laptop,Laptop Model 854,11403,9,0.15,3167.1,69,725.05,1267,107,Reliance Distributors
ORD00079,23-12-2023,26-12-2023,2023,CUST1079,Keerthana S,Consumer,North,Uttar Pradesh,Lucknow,India,Technology,Laptop,Laptop Model 408,6486,2,0.15,723.9,21,2394.6,3243,42,ITC Supply
ORD00080,19-11-2023,20-11-2023,2023,CUST1080,Swathi R,Consumer,East,West Bengal,Kolkata,India,Office Supplies,Pen,Pen Model 949,5757,3,0.2,857.1,65,1249.5,1919,113,Adani Logistics
ORD00081,12-08-2023,13-08-2023,2023,CUST1081,Kavya R,Consumer,East,Assam,Guwahati,India,Technology,Printer,Printer Model 142,6648,6,0.05,2248.56,76,677.84,1108,39,Mahindra Traders
ORD00082,01-05-2023,05-05-2023,2023,CUST1082,Karthik Raj,Home Office,East,Assam,Guwahati,India,Office Supplies,Binder,Binder Model 476,18368,7,0.2,3447.43,62,1606.71,2624,277,ITC Supply
ORD00083,03-07-2023,04-07-2023,2023,CUST1083,Karthik Raj,Consumer,South,Telangana,Hyderabad,India,Furniture,Chair,Chair Model 168,30832,8,0.05,6085.2,21,2900.65,3854,203,ITC Supply
ORD00084,10-01-2024,11-01-2024,2024,CUST1084,Kavya R,Corporate,East,Assam,Guwahati,India,Office Supplies,Pen,Pen Model 896,433,1,0.05,164.3,70,247.05,433,60,Tata Suppliers
ORD00085,31-05-2024,04-06-2024,2024,CUST1085,Suresh Babu,Corporate,North,Delhi,New Delhi,India,Technology,Monitor,Monitor Model 930,3372,2,0.05,521.2,26,1341.1,1686,133,Tata Suppliers
ORD00086,26-12-2023,31-12-2023,2023,CUST1086,Shreya Das,Corporate,West,Maharashtra,Mumbai,India,Furniture,Bookcase,Bookcase Model 313,19190,5,0.05,6456.65,80,2354.77,3838,154,Adani Logistics
ORD00087,02-06-2024,04-06-2024,2024,CUST1087,Sneha Nair,Home Office,West,Gujarat,Ahmedabad,India,Technology,Laptop,Laptop Model 435,10215,3,0.05,2460.36,53,2414.63,3405,106,Mahindra Traders
ORD00088,28-04-2023,03-05-2023,2023,CUST1088,Neha Agarwal,Home Office,South,Kerala,Kochi,India,Furniture,Bookcase,Bookcase Model 977,43659,9,0,16895.7,55,2973.7,4851,210,Mahindra Traders
ORD00089,20-01-2024,23-01-2024,2024,CUST1089,Vivaan Patel,Corporate,North,Punjab,Ludhiana,India,Furniture,Chair,Chair Model 939,15872,8,0.05,3906.96,71,1396.43,1984,149,Mahindra Traders
ORD00090,16-10-2024,21-10-2024,2024,CUST1090,Harini Balaji,Corporate,West,Rajasthan,Jaipur,India,Technology,Monitor,Monitor Model 527,1915,1,0.05,626.7,70,1192.55,1915,206,Tata Suppliers
ORD00091,16-05-2023,20-05-2023,2023,CUST1091,Pooja Singh,Consumer,North,Uttar Pradesh,Lucknow,India,Office Supplies,Paper,Paper Model 635,545,1,0,167.98,50,377.02,545,293,Reliance Distributors
ORD00092,28-02-2024,04-03-2024,2024,CUST1092,Shreya Das,Consumer,West,Rajasthan,Jaipur,India,Technology,Laptop,Laptop Model 824,23940,6,0.05,8769.54,24,2328.91,3990,250,Tata Suppliers
ORD00093,07-03-2023,13-03-2023,2023,CUST1093,Neha Agarwal,Corporate,North,Uttar Pradesh,Lucknow,India,Furniture,Table,Table Model 708,970,5,0,280.1,87,137.98,194,247,Adani Logistics
ORD00094,14-06-2024,20-06-2024,2024,CUST1094,Rahul Verma,Consumer,East,West Bengal,Kolkata,India,Technology,Laptop,Laptop Model 263,604,1,0.2,147.19,12,336.01,604,73,Tata Suppliers
ORD00095,19-09-2024,24-09-2024,2024,CUST1095,Rahul Verma,Home Office,North,Delhi,New Delhi,India,Furniture,Chair,Chair Model 416,38268,9,0.15,3698.82,13,3203.22,4252,173,Tata Suppliers
ORD00096,04-05-2024,10-05-2024,2024,CUST1096,Arjun Reddy,Corporate,South,Telangana,Hyderabad,India,Furniture,Bookcase,Bookcase Model 337,6072,8,0.15,1555.36,87,450.73,759,39,Tata Suppliers
ORD00097,10-12-2023,16-12-2023,2023,CUST1097,Pooja Singh,Home Office,West,Rajasthan,Jaipur,India,Technology,Printer,Printer Model 322,33048,9,0.2,232.2,15,2911.8,3672,279,Tata Suppliers
ORD00098,23-06-2023,26-06-2023,2023,CUST1098,Ananya Iyer,Corporate,North,Uttar Pradesh,Lucknow,India,Technology,Laptop,Laptop Model 972,10032,6,0.15,2185.56,85,1056.94,1672,294,ITC Supply
ORD00099,28-04-2024,03-05-2024,2024,CUST1099,Karthik Raj,Home Office,South,Tamil Nadu,Chennai,India,Furniture,Bookcase,Bookcase Model 699,19088,4,0.1,2914.72,14,3566.12,4772,107,Reliance Distributors
ORD00100,03-02-2023,04-02-2023,2023,CUST1100,Sai Kiran,Home Office,South,Tamil Nadu,Chennai,India,Office Supplies,Paper,Paper Model 758,7566,6,0,3346.32,86,703.28,1261,41,Tata Suppliers
ORD00101,17-02-2023,18-02-2023,2023,CUST1101,Priya Sharma,Consumer,West,Maharashtra,Mumbai,India,Office Supplies,Pen,Pen Model 134,6488,2,0,2519.66,9,1984.17,3244,64,Mahindra Traders
ORD00102,03-05-2024,04-05-2024,2024,CUST1102,Aarav Sharma,Corporate,North,Delhi,New Delhi,India,Office Supplies,Paper,Paper Model 362,13570,5,0.1,3311.9,41,1780.22,2714,44,Mahindra Traders
ORD00103,25-11-2023,30-11-2023,2023,CUST1103,Manoj Kumar,Consumer,East,Odisha,Bhubaneswar,India,Office Supplies,Pen,Pen Model 455,3482,1,0,1186.97,65,2295.03,3482,44,Adani Logistics
ORD00104,02-08-2024,04-08-2024,2024,CUST1104,Manoj Kumar,Consumer,South,Kerala,Kochi,India,Technology,Printer,Printer Model 104,4388,1,0.05,1438.9,49,2729.7,4388,271,Tata Suppliers
ORD00105,18-05-2024,24-05-2024,2024,CUST1105,Pooja Singh,Consumer,North,Punjab,Ludhiana,India,Office Supplies,Binder,Binder Model 816,20106,9,0.2,282.15,34,1755.85,2234,275,Reliance Distributors
ORD00106,23-04-2023,29-04-2023,2023,CUST1106,Shreya Das,Corporate,South,Telangana,Hyderabad,India,Office Supplies,Pen,Pen Model 863,5550,2,0.1,1810.48,16,1592.26,2775,236,Tata Suppliers
ORD00107,16-01-2024,18-01-2024,2024,CUST1107,Harini Balaji,Consumer,West,Gujarat,Ahmedabad,India,Furniture,Bookcase,Bookcase Model 571,13509,9,0.15,734.85,21,1194.2,1501,292,Adani Logistics
ORD00108,06-12-2024,11-12-2024,2024,CUST1108,Kavya R,Corporate,South,Kerala,Kochi,India,Office Supplies,Binder,Binder Model 273,12348,9,0.15,1660.5,64,981.7,1372,244,Mahindra Traders
ORD00109,16-08-2024,18-08-2024,2024,CUST1109,Manoj Kumar,Home Office,North,Punjab,Ludhiana,India,Furniture,Bookcase,Bookcase Model 946,17036,4,0.05,5675.2,84,2627.25,4259,99,Reliance Distributors
ORD00110,11-09-2023,17-09-2023,2023,CUST1110,Sneha Nair,Home Office,West,Rajasthan,Jaipur,India,Office Supplies,Binder,Binder Model 204,6105,3,0.1,677.97,26,1605.51,2035,72,Reliance Distributors
ORD00111,29-01-2024,31-01-2024,2024,CUST1111,Shreya Das,Consumer,North,Punjab,Ludhiana,India,Office Supplies,Binder,Binder Model 387,16401,7,0.05,6112.33,31,1352.66,2343,218,ITC Supply
ORD00112,04-02-2023,05-02-2023,2023,CUST1112,Sneha Nair,Home Office,East,Odisha,Bhubaneswar,India,Office Supplies,Paper,Paper Model 855,22734,9,0.15,6694.47,56,1403.27,2526,22,Reliance Distributors
ORD00113,16-03-2024,22-03-2024,2024,CUST1113,Vignesh Kumar,Corporate,East,West Bengal,Kolkata,India,Office Supplies,Pen,Pen Model 420,19720,10,0.05,4725.2,38,1400.88,1972,70,ITC Supply
ORD00114,06-09-2023,10-09-2023,2023,CUST1114,Deepak Gupta,Home Office,North,Punjab,Ludhiana,India,Furniture,Table,Table Model 776,2088,8,0.2,73.84,28,199.57,261,187,Tata Suppliers
ORD00115,03-02-2024,07-02-2024,2024,CUST1115,Arjun Reddy,Home Office,South,Tamil Nadu,Chennai,India,Furniture,Bookcase,Bookcase Model 567,5668,4,0.05,1531.48,74,963.28,1417,124,ITC Supply
ORD00116,08-06-2024,09-06-2024,2024,CUST1116,Manoj Kumar,Consumer,West,Rajasthan,Jaipur,India,Furniture,Table,Table Model 846,14568,8,0.05,4397.76,83,1180.23,1821,202,Tata Suppliers
ORD00117,16-09-2023,19-09-2023,2023,CUST1117,Nikhil Joshi,Corporate,East,Odisha,Bhubaneswar,India,Technology,Laptop,Laptop Model 694,7058,2,0.15,1008.3,38,2495.5,3529,75,Reliance Distributors
ORD00118,07-11-2023,13-11-2023,2023,CUST1118,Manoj Kumar,Consumer,East,Assam,Guwahati,India,Technology,Printer,Printer Model 929,14688,8,0.05,5400.4,86,1069.15,1836,118,ITC Supply
ORD00119,19-10-2024,24-10-2024,2024,CUST1119,Harini Balaji,Consumer,North,Delhi,New Delhi,India,Furniture,Bookcase,Bookcase Model 898,27538,7,0.1,4406.85,65,2911.05,3934,201,Reliance Distributors
ORD00120,01-10-2023,07-10-2023,2023,CUST1120,Keerthana S,Corporate,East,Assam,Guwahati,India,Furniture,Table,Table Model 466,12135,3,0,3017.25,36,3039.25,4045,174,Mahindra Traders
ORD00121,06-05-2024,10-05-2024,2024,CUST1121,Vivaan Patel,Consumer,East,Assam,Guwahati,India,Office Supplies,Paper,Paper Model 947,8106,6,0.1,1105.56,77,1031.64,1351,186,Reliance Distributors
ORD00122,27-06-2024,30-06-2024,2024,CUST1122,Sai Kiran,Consumer,South,Tamil Nadu,Chennai,India,Technology,Laptop,Laptop Model 290,10740,5,0.2,2412.45,62,1235.91,2148,197,Reliance Distributors
ORD00123,02-08-2023,06-08-2023,2023,CUST1123,Akash Yadav,Consumer,North,Uttar Pradesh,Lucknow,India,Office Supplies,Pen,Pen Model 643,9186,2,0.1,2761.84,15,2752.78,4593,244,Tata Suppliers
ORD00124,22-07-2024,23-07-2024,2024,CUST1124,Vignesh Kumar,Consumer,West,Gujarat,Ahmedabad,India,Technology,Laptop,Laptop Model 817,33112,8,0.2,7794.08,67,2336.94,4139,146,ITC Supply
